"PlayerName","PlayerPosition","Team","eMIN","eFG","eFT","eThrPM","eREB","eAST","eSTL","eBLK","eTO","ePTS","FGA2014","FTA2014"
"Reggie Evans","PF,C","SAC",767,0.423357664233577,0.618556701030928,0,6.36170212765957,0.680851063829787,0.468085106382979,0.106382978723404,0.957446808510638,3.74468085106383,2.91489361702128,2.06382978723404
"Jeff Withey","C","UTA",1,0.5,0.68,0,0,0,0,0,0,0,1.72972972972973,1.35135135135135
"DeJuan Blair","PF,C","WSH",6,0,0.666666666666667,0,1.5,0,0.5,0,2.5,0,1.96551724137931,0.206896551724138
"John Jenkins","SG,SF","DAL",14.3333333333333,0.421052631578947,1,0,2.66666666666667,1.33333333333333,0,0,0.666666666666667,6.33333333333333,4.125,0.791666666666667
"Joey Dorsey","PF,C","DEN",856,0.551724137931034,0.289156626506024,0,4.04347826086957,0.36231884057971,0.579710144927536,0.36231884057971,0.594202898550725,2.66666666666667,2.10144927536232,1.20289855072464
"Perry Jones","SF,PF","BOS",631,0.396739130434783,0.648648648648649,0.325581395348837,1.76744186046512,0.418604651162791,0.395348837209302,0.186046511627907,0.558139534883721,4.27906976744186,4.27906976744186,0.86046511627907
"Sergey Karasev","SG,SF","BKN",2,0,1,0,0.333333333333333,0,0,0,0.333333333333333,1.33333333333333,4.06060606060606,1.15151515151515
"Cleanthony Early","SF","NY",3,1,0.75,0,0.5,0.25,0.25,0,0,0.5,5.48717948717949,1.23076923076923
"Ryan Hollins","C","MEM",442,0.646341463414634,0.574074074074074,0,2.23913043478261,0.304347826086957,0.130434782608696,0.41304347826087,0.543478260869565,2.97826086956522,1.78260869565217,1.17391304347826
"Gary Harris","SG","DEN",25.4285714285714,0.479166666666667,0.666666666666667,1,3,2.14285714285714,1,0.285714285714286,1.42857142857143,8.14285714285714,3.94545454545455,0.854545454545454
"Travis Wear","PF","NY",669,0.401913875598086,0.769230769230769,0.215686274509804,2.07843137254902,0.784313725490196,0.294117647058824,0.215686274509804,0.686274509803922,3.90196078431373,4.09803921568627,0.509803921568627
"Jordan Crawford","PG,SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan Hamilton","SF","LAC",123,0.4,NA,0.714285714285714,1.14285714285714,0.5,0.142857142857143,0,0.285714285714286,2.71428571428571,2.5,0
"Jason Richardson","SG,SF","ATL",417,0.348314606741573,0.772727272727273,1.63157894736842,3.47368421052632,2,0.684210526315789,0.157894736842105,0.842105263157895,9.05263157894737,9.36842105263158,1.15789473684211
"Chuck Hayes","PF,C","HOU",12,0.5,1,0,4,1,0,0,1.5,2,1.58620689655172,0.379310344827586
"Cory Jefferson","PF",NA,530,0.449101796407186,0.574074074074074,0.04,2.9,0.32,0.2,0.42,0.4,3.66,3.34,1.08
"Jeff Adrien","SF,PF","NOR",215,0.431818181818182,0.578947368421053,0,4.52941176470588,0.882352941176471,0.235294117647059,0.529411764705882,0.529411764705882,3.52941176470588,2.58823529411765,2.23529411764706
